A	Coef.K97_mutYoung_wtYoung	Coef.K97_mutOld_wtOld	Coef.K97_wtOld_wtYoung	Coef.K97_mutOld_mutYoung	t.K97_mutYoung_wtYoung	t.K97_mutOld_wtOld	t.K97_wtOld_wtYoung	t.K97_mutOld_mutYoung	p.value.K97_mutYoung_wtYoung	p.value.K97_mutOld_wtOld	p.value.K97_wtOld_wtYoung	p.value.K97_mutOld_mutYoung	p.value.adj.K97_mutYoung_wtYoung	p.value.adj.K97_mutOld_wtOld	p.value.adj.K97_wtOld_wtYoung	p.value.adj.K97_mutOld_mutYoung	F	F.p.value	Res.K97_mutYoung_wtYoung	Res.K97_mutOld_wtOld	Res.K97_wtOld_wtYoung	Res.K97_mutOld_mutYoung
17.854608	-0.407925344	-0.097249253	0.245406606	0.556082697	-1.56115874	-0.40970301	0.99056211	2.21126729	0.13890086607	0.68769459332	0.33728580487	0.04261046963	0.268652573304	0.814391764043	0.504881053785	0.109296598622	2.749158	0.07853308948	0	0	0	0
17.83280377	0.070391886	-0.613985973	0.240320784	-0.444057074	0.26367686	-2.53177068	0.94944504	-1.72831814	0.7955422349	0.02274158319	0.35713093781	0.10402501377	0.888366955483	0.06817198488	0.527932690673	0.215040508461	2.21312011	0.12794314958	0	0	0	0
16.51641621	0.315023841	0.284844204	0.06015449	0.029974853	1.17711986	1.1716588	0.2370688	0.11637771	0.25711053785	0.25923209275	0.81574395703	0.90886490315	0.416796505516	0.417615790316	0.900804438023	0.946978592638	0.92395747	0.4526712993	0	0	0	0
17.45978771	0.297244238	-0.532645124	0.772946617	-0.056942745	1.36820397	-2.6989315	3.75245926	-0.2723399	0.19097905109	0.01626180073	0.00185871579	0.7889965992	0.332092777936	0.051713928876	0.00938306891	0.884881602579	5.2677299	0.01077442707	0	0	1	0
16.24102601	-0.247352885	-0.232591193	1.008631758	1.02339345	-0.92674593	-0.95929787	3.98570756	3.98402288	0.3684271357	0.35230309361	0.00114879523	0.00115278379	0.53664922134	0.523792401549	0.006475637635	0.006475637635	11.66284259	0.00030976165	0	0	1	1
18.51819845	0.149101666	-0.463594404	-0.319201641	-0.931897711	0.86577431	-2.96330868	-1.95486334	-5.62245425	0.39996794068	0.00949384631	0.06909505934	4.487349e-05	0.570373707898	0.033931624171	0.158562729438	0.000531894993	12.27622312	0.00023676896	0	-1	0	-1
21.00458618	0.461111521	-0.337038947	1.936842019	1.138691551	1.52441291	-1.22657255	6.75336043	3.91145399	0.14777879055	0.23849942114	5.80955e-06	0.00133859649	0.280125556972	0.392037216435	0.000110381432	0.007117146781	20.38538608	1.329009e-05	0	0	1	1
17.60132626	-0.168890572	0.511310791	-0.968985797	-0.288784434	-0.41276138	1.37560932	-2.49769924	-0.73333584	0.68549954741	0.18872082823	0.02433628468	0.47442544821	0.813159708803	0.330250312223	0.071298140144	0.639830562721	2.54721007	0.09411109601	0	0	0	0
17.20357007	-0.060641669	0.035089229	0.194806281	0.290537178	-0.20643765	0.13149465	0.69943893	1.02767302	0.83916727453	0.89709515665	0.49476022655	0.32005504498	0.915000132799	0.94002185109	0.656968358382	0.489598928971	0.52174376	0.67368822231	0	0	0	0
16.54013144	-0.443247341	0.415166691	0.844482361	1.702896392	-1.53619898	1.58394589	3.08688891	6.13232328	0.14488058203	0.1336254651	0.00736502914	1.746971e-05	0.2764929276	0.261186234347	0.027501785101	0.000245335536	15.76224195	6.006849e-05	0	0	1	1
