Raw.file,Condition,Experiment,BioReplicate,TechReplicate,IsotopeLabelType,Age,NameBioRep
IMP160413_16-019_1K_1_RA5_01_498,K97,1K-1,1,1,L,24,K97_1_24mth
IMP160413_16-019_1K_2_RA5_01_500,K97,1K-2,1,2,L,24,K97_1_24mth
IMP160413_16-019_1NM_1_RA1_01_486,NM,1NM-1,2,1,L,24,NM_1_24mth
IMP160413_16-019_1NM_2_RA1_01_487,NM,1NM-2,2,2,L,24,NM_1_24mth
IMP160413_16-019_2K_1_RA6_01_502,K97,2K-1,3,1,L,24,K97_2_24mth
IMP160413_16-019_2K_2_RA6_01_503,K97,2K-2,3,2,L,24,K97_2_24mth
IMP160413_16-019_2NM_1_RA2_01_489,NM,2NM-1,4,1,L,24,NM_2_24mth
IMP160413_16-019_2NM_2_RA2_01_490,NM,2NM-2,4,2,L,24,NM_2_24mth
IMP160413_16-019_3K_1_RA7_01_505,K97,3K-1,5,1,L,24,K97_3_24mth
IMP160413_16-019_3K_2_RA7_01_506,K97,3K-2,5,2,L,24,K97_3_24mth
IMP160413_16-019_3NM_1_RA3_01_492,NM,3NM-1,6,1,L,24,NM_3_24mth
IMP160413_16-019_3NM_2_RA3_01_493,NM,3NM-2,6,2,L,24,NM_3_24mth
IMP160413_16-019_4K_1_RA8_01_508,K97,4K-1,7,1,L,24,K97_4_24mth
IMP160413_16-019_4K_2_RA8_01_509,K97,4K-2,7,2,L,24,K97_4_24mth
IMP160413_16-019_4NM_1_RA4_01_495,NM,4NM-1,8,1,L,24,NM_4_24mth
IMP160413_16-019_4NM_2_RA4_01_496,NM,4NM-2,8,2,L,24,NM_4_24mth
