sample,months,age,psen1,date,batch_month,sibship,group,batch
psen1K97Gfshet_6mth_10_03_2016_S1_fem,6,young,K97Gfs,161007,2016_oct,K97Gfs,K97Gfs_mutant_young,2016_late
psen1K97Gfshet_6mth_10_03_2016_S2_fem,6,young,K97Gfs,161007,2016_oct,K97Gfs,K97Gfs_mutant_young,2016_late
psen1K97Gfshet_6mth_10_03_2016_S3_fem,6,young,K97Gfs,161007,2016_oct,K97Gfs,K97Gfs_mutant_young,2016_late
non_mutant_K97Gfs_6mth_10_03_2016_S3_fem,6,young,wt,161028,2016_oct,K97Gfs,K97Gfs_wt_young,2016_late
non_mutant_K97Gfs_6mth_10_03_2016_S1_fem,6,young,wt,161007,2016_oct,K97Gfs,K97Gfs_wt_young,2016_late
psen1Q96_K97delhet_6mth_10_03_2016_S1_fem,6,young,Q96K97del,161007,2016_oct,Q96K97del,Q96K97del_mutant_young,2016_late
psen1Q96_K97delhet_6mth_10_03_2016_S2_fem,6,young,Q96K97del,161007,2016_oct,Q96K97del,Q96K97del_mutant_young,2016_late
psen1Q96_K97delhet_6mth_10_03_2016_S3_fem,6,young,Q96K97del,161007,2016_oct,Q96K97del,Q96K97del_mutant_young,2016_late
non_mutant_Q96_K97del_6mth_10_03_2016_S1_fem,6,young,wt,161007,2016_oct,Q96K97del,Q96K97del_wt_young,2016_late
non_mutant_Q96_K97del_6mth_10_03_2016_S2_fem,6,young,wt,161007,2016_oct,Q96K97del,Q96K97del_wt_young,2016_late
non_mutant_Q96_K97del_6mth_10_03_2016_S3_fem,6,young,wt,161007,2016_oct,Q96K97del,Q96K97del_wt_young,2016_late
non_mutant_K97Gfs_6mth_10_03_2016_S2_fem,6,young,wt,170202,2017_feb,K97Gfs,K97Gfs_wt_young,2017_early
psen1Q96_K97delhet_26mth_26_08_2014_S1_fem,26,old,Q96K97del,170202,2017_feb,Q96K97del,Q96K97del_mutant_old,2017_early
psen1Q96_K97delhet_26mth_26_08_2014_S2_fem,26,old,Q96K97del,170202,2017_feb,Q96K97del,Q96K97del_mutant_old,2017_early
psen1Q96_K97delhet_26mth_26_08_2014_S3_fem,26,old,Q96K97del,170202,2017_feb,Q96K97del,Q96K97del_mutant_old,2017_early
psen1Q96_K97delhet_26mth_26_08_2014_S4_fem,26,old,Q96K97del,170202,2017_feb,Q96K97del,Q96K97del_mutant_old,2017_early
psen1Q96_K97delhet_26mth_26_08_2014_S5_fem,26,old,Q96K97del,170202,2017_feb,Q96K97del,Q96K97del_mutant_old,2017_early
psen1Q96_K97delhet_26mth_26_08_2014_S6_fem,26,old,Q96K97del,170202,2017_feb,Q96K97del,Q96K97del_mutant_old,2017_early
psen1Q96_K97delhet_26mth_26_08_2014_S7_fem,26,old,Q96K97del,170202,2017_feb,Q96K97del,Q96K97del_mutant_old,2017_early
psen1Q96_K97delhet_26mth_26_08_2014_S8_fem,26,old,Q96K97del,170202,2017_feb,Q96K97del,Q96K97del_mutant_old,2017_early
non_mutant_Q96_K97del_26mth_26_08_2014_S1_fem,26,old,wt,170202,2017_feb,Q96K97del,Q96K97del_wt_old,2017_early
non_mutant_Q96_K97del_26mth_26_08_2014_S2_fem,26,old,wt,170202,2017_feb,Q96K97del,Q96K97del_wt_old,2017_early
non_mutant_Q96_K97del_26mth_26_08_2014_S3_fem,26,old,wt,170202,2017_feb,Q96K97del,Q96K97del_wt_old,2017_early
non_mutant_Q96_K97del_26mth_26_08_2014_S4_fem,26,old,wt,170202,2017_feb,Q96K97del,Q96K97del_wt_old,2017_early
psen1K97Gfshet_24mth_13_03_2014_S1_fem,24,old,K97Gfs,160408,2016_apr,K97Gfs,K97Gfs_mutant_old,2016_early
psen1K97Gfshet_24mth_13_03_2014_S2_fem,24,old,K97Gfs,160408,2016_apr,K97Gfs,K97Gfs_mutant_old,2016_early
psen1K97Gfshet_24mth_13_03_2014_S3_fem,24,old,K97Gfs,160408,2016_apr,K97Gfs,K97Gfs_mutant_old,2016_early
non_mutant_K97Gfs_24mth_13_03_2014_S1_fem,24,old,wt,160408,2016_apr,K97Gfs,K97Gfs_wt_old,2016_early
non_mutant_K97Gfs_24mth_13_03_2014_S2_fem,24,old,wt,160408,2016_apr,K97Gfs,K97Gfs_wt_old,2016_early
non_mutant_K97Gfs_24mth_13_03_2014_S3_fem,24,old,wt,160408,2016_apr,K97Gfs,K97Gfs_wt_old,2016_early
psen1Q96_K97delhet_24mth_23_04_2014_S2_fem,24,old,Q96K97del,160511,2016_may,Q96K97del,Q96K97del_mutant_old,2016_early
psen1Q96_K97delhet_24mth_23_04_2014_S3_fem,24,old,Q96K97del,160511,2016_may,Q96K97del,Q96K97del_mutant_old,2016_early
non_mutant_Q96_K97del_24mth_23_04_2014_S1_fem,24,old,wt,160511,2016_may,Q96K97del,Q96K97del_wt_old,2016_early
non_mutant_Q96_K97del_24mth_23_04_2014_S2_fem,24,old,wt,160511,2016_may,Q96K97del,Q96K97del_wt_old,2016_early
non_mutant_Q96_K97del_24mth_23_04_2014_S3_fem,24,old,wt,160511,2016_may,Q96K97del,Q96K97del_wt_old,2016_early
non_mutant_Q96_K97del_24mth_23_04_2014_S4_fem,24,old,wt,160511,2016_may,Q96K97del,Q96K97del_wt_old,2016_early
