TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
GO:1903725	regulation of phospholipid metabolic process	0.000150761534303192	-8.79981121249328	5	2	0.0434782608695652	46	11674	406311,557176	pik3r3a,pik3r1
GO:0043551	regulation of phosphatidylinositol 3-kinase activity	0.000150761534303192	-8.79981121249328	5	2	0.0434782608695652	46	11674	557176,406311	pik3r1,pik3r3a
GO:0043550	regulation of lipid kinase activity	0.000225574402855683	-8.39686050729687	6	2	0.0434782608695652	46	11674	406311,557176	pik3r3a,pik3r1
GO:0051601	exocyst localization	0.00031501130214259	-8.06290203996456	7	2	0.0434782608695652	46	11674	100002110,567159	stxbp6l,tnfaip2a
GO:0043549	regulation of kinase activity	0.000701671309001536	-7.26204548438358	103	4	0.0869565217391304	46	11674	557176,568412,406304,406311	pik3r1,si:ch211-45c16.2,gadd45ba,pik3r3a
GO:0051338	regulation of transferase activity	0.00116660730834519	-6.7536554790105	118	4	0.0869565217391304	46	11674	406311,406304,568412,557176	pik3r3a,gadd45ba,si:ch211-45c16.2,pik3r1
GO:0042325	regulation of phosphorylation	0.00121438414486134	-6.71351820735236	205	5	0.108695652173913	46	11674	100333821,406311,557176,568412,406304	tnfrsf11a,pik3r3a,pik3r1,si:ch211-45c16.2,gadd45ba
GO:0034629	cellular protein complex localization	0.00154373357549861	-6.47355139699771	15	2	0.0434782608695652	46	11674	100002110,567159	stxbp6l,tnfaip2a
GO:0008286	insulin receptor signaling pathway	0.00175984763774037	-6.34252804314513	16	2	0.0434782608695652	46	11674	406311,557176	pik3r3a,pik3r1
GO:0043410	positive regulation of MAPK cascade	0.0022995146457097	-6.07505720192012	67	3	0.0652173913043478	46	11674	406304,568412,100333821	gadd45ba,si:ch211-45c16.2,tnfrsf11a
GO:0019220	regulation of phosphate metabolic process	0.00260919903597798	-5.94871198751274	244	5	0.108695652173913	46	11674	100333821,406311,557176,406304,568412	tnfrsf11a,pik3r3a,pik3r1,gadd45ba,si:ch211-45c16.2
GO:0051174	regulation of phosphorus metabolic process	0.00260919903597798	-5.94871198751274	244	5	0.108695652173913	46	11674	406304,568412,557176,406311,100333821	gadd45ba,si:ch211-45c16.2,pik3r1,pik3r3a,tnfrsf11a
GO:0046854	phosphatidylinositol phosphorylation	0.00333715427043975	-5.70263685000287	22	2	0.0434782608695652	46	11674	406311,557176	pik3r3a,pik3r1
GO:0046834	lipid phosphorylation	0.00333715427043975	-5.70263685000287	22	2	0.0434782608695652	46	11674	406311,557176	pik3r3a,pik3r1
GO:0032869	cellular response to insulin stimulus	0.00364583952093271	-5.61416861879784	23	2	0.0434782608695652	46	11674	557176,406311	pik3r1,pik3r3a
GO:0070236	negative regulation of activation-induced cell death of T cells	0.00394038033240533	-5.53647802926378	1	1	0.0217391304347826	46	11674	393541	tsc22d3
GO:0070232	regulation of T cell apoptotic process	0.00394038033240533	-5.53647802926378	1	1	0.0217391304347826	46	11674	393541	tsc22d3
GO:0070233	negative regulation of T cell apoptotic process	0.00394038033240533	-5.53647802926378	1	1	0.0217391304347826	46	11674	393541	tsc22d3
GO:0070235	regulation of activation-induced cell death of T cells	0.00394038033240533	-5.53647802926378	1	1	0.0217391304347826	46	11674	393541	tsc22d3
GO:0032868	response to insulin	0.00396733718063225	-5.52966014468375	24	2	0.0434782608695652	46	11674	406311,557176	pik3r3a,pik3r1
GO:0071375	cellular response to peptide hormone stimulus	0.00396733718063225	-5.52966014468375	24	2	0.0434782608695652	46	11674	406311,557176	pik3r3a,pik3r1
GO:1901653	cellular response to peptide	0.00396733718063225	-5.52966014468375	24	2	0.0434782608695652	46	11674	406311,557176	pik3r3a,pik3r1
GO:0043434	response to peptide hormone	0.00430154596648033	-5.44878079380855	25	2	0.0434782608695652	46	11674	406311,557176	pik3r3a,pik3r1
GO:0030258	lipid modification	0.00497275600549691	-5.30378106429859	88	3	0.0652173913043478	46	11674	406311,558940,557176	pik3r3a,sacm1la,pik3r1
GO:0032147	activation of protein kinase activity	0.0050076946254767	-5.29677962438445	27	2	0.0434782608695652	46	11674	568412,406304	si:ch211-45c16.2,gadd45ba
GO:0046488	phosphatidylinositol metabolic process	0.00513215299621553	-5.27223002047212	89	3	0.0652173913043478	46	11674	558940,557176,406311	sacm1la,pik3r1,pik3r3a
GO:0031503	protein complex localization	0.00742084932827014	-4.903461763627	33	2	0.0434782608695652	46	11674	100002110,567159	stxbp6l,tnfaip2a
GO:0070229	negative regulation of lymphocyte apoptotic process	0.00786557030081016	-4.84526023387246	2	1	0.0217391304347826	46	11674	393541	tsc22d3
GO:0032228	regulation of synaptic transmission, GABAergic	0.00786557030081016	-4.84526023387246	2	1	0.0217391304347826	46	11674	724016	npas4a
GO:0045932	negative regulation of muscle contraction	0.00786557030081016	-4.84526023387246	2	1	0.0217391304347826	46	11674	100037315	adrb2b
GO:0045986	negative regulation of smooth muscle contraction	0.00786557030081016	-4.84526023387246	2	1	0.0217391304347826	46	11674	100037315	adrb2b
GO:2000107	negative regulation of leukocyte apoptotic process	0.00786557030081016	-4.84526023387246	2	1	0.0217391304347826	46	11674	393541	tsc22d3
GO:0051703	intraspecies interaction between organisms	0.00786557030081016	-4.84526023387246	2	1	0.0217391304347826	46	11674	724016	npas4a
GO:0007614	short-term memory	0.00786557030081016	-4.84526023387246	2	1	0.0217391304347826	46	11674	724016	npas4a
GO:1904862	inhibitory synapse assembly	0.00786557030081016	-4.84526023387246	2	1	0.0217391304347826	46	11674	724016	npas4a
GO:0035176	social behavior	0.00786557030081016	-4.84526023387246	2	1	0.0217391304347826	46	11674	724016	npas4a
GO:0007616	long-term memory	0.00786557030081016	-4.84526023387246	2	1	0.0217391304347826	46	11674	724016	npas4a
GO:0051705	multi-organism behavior	0.00786557030081016	-4.84526023387246	2	1	0.0217391304347826	46	11674	724016	npas4a
GO:1901652	response to peptide	0.00832086681036736	-4.78898884563741	35	2	0.0434782608695652	46	11674	406311,557176	pik3r3a,pik3r1
GO:0019216	regulation of lipid metabolic process	0.00832086681036736	-4.78898884563741	35	2	0.0434782608695652	46	11674	557176,406311	pik3r1,pik3r3a
GO:0043405	regulation of MAP kinase activity	0.00878837409334765	-4.73432555670994	36	2	0.0434782608695652	46	11674	406304,568412	gadd45ba,si:ch211-45c16.2
GO:0009967	positive regulation of signal transduction	0.00905422464425412	-4.70452381867311	209	4	0.0869565217391304	46	11674	406304,568412,393541,100333821	gadd45ba,si:ch211-45c16.2,tsc22d3,tnfrsf11a
GO:1902533	positive regulation of intracellular signal transduction	0.00943907764792674	-4.66289701038577	111	3	0.0652173913043478	46	11674	406304,568412,100333821	gadd45ba,si:ch211-45c16.2,tnfrsf11a
GO:0043408	regulation of MAPK cascade	0.00967243108901734	-4.63847559583811	112	3	0.0652173913043478	46	11674	100333821,406304,568412	tnfrsf11a,gadd45ba,si:ch211-45c16.2
GO:0001934	positive regulation of protein phosphorylation	0.00990914368069924	-4.61429734399039	113	3	0.0652173913043478	46	11674	406304,568412,100333821	gadd45ba,si:ch211-45c16.2,tnfrsf11a
GO:0010647	positive regulation of cell communication	0.00997592829457192	-4.60758025842375	215	4	0.0869565217391304	46	11674	406304,568412,100333821,393541	gadd45ba,si:ch211-45c16.2,tnfrsf11a,tsc22d3
GO:0023056	positive regulation of signaling	0.0101352653067004	-4.59173432214399	216	4	0.0869565217391304	46	11674	100333821,393541,406304,568412	tnfrsf11a,tsc22d3,gadd45ba,si:ch211-45c16.2
GO:0006650	glycerophospholipid metabolic process	0.010149225071144	-4.59035792407951	114	3	0.0652173913043478	46	11674	406311,557176,558940	pik3r3a,pik3r1,sacm1la
GO:0042327	positive regulation of phosphorylation	0.0103926846459297	-4.5666531197661	115	3	0.0652173913043478	46	11674	100333821,568412,406304	tnfrsf11a,si:ch211-45c16.2,gadd45ba
GO:0071417	cellular response to organonitrogen compound	0.0107728583019733	-4.53072542822692	40	2	0.0434782608695652	46	11674	557176,406311	pik3r1,pik3r3a
GO:0019222	regulation of metabolic process	0.0111864179543763	-4.49305491922065	1882	14	0.304347826086957	46	11674	492346,557176,436766,568412,405850,553189,406311,724016,406304,323656,100333821,393541,402815,767809	fosb,pik3r1,jdp2b,si:ch211-45c16.2,foxg1b,dnmt3ab,pik3r3a,npas4a,gadd45ba,her8a,tnfrsf11a,tsc22d3,nr1d2a,runx1t1
GO:0002025	vasodilation by norepinephrine-epinephrine involved in regulation of systemic arterial blood pressure	0.01177562716924	-4.4417233777176	3	1	0.0217391304347826	46	11674	100037315	adrb2b
GO:0060080	inhibitory postsynaptic potential	0.01177562716924	-4.4417233777176	3	1	0.0217391304347826	46	11674	724016	npas4a
GO:0071139	resolution of recombination intermediates	0.01177562716924	-4.4417233777176	3	1	0.0217391304347826	46	11674	557127	si:dkey-119f1.1
GO:0070228	regulation of lymphocyte apoptotic process	0.01177562716924	-4.4417233777176	3	1	0.0217391304347826	46	11674	393541	tsc22d3
GO:2000106	regulation of leukocyte apoptotic process	0.01177562716924	-4.4417233777176	3	1	0.0217391304347826	46	11674	393541	tsc22d3
GO:0060079	excitatory postsynaptic potential	0.01177562716924	-4.4417233777176	3	1	0.0217391304347826	46	11674	724016	npas4a
GO:0032870	cellular response to hormone stimulus	0.0119248769572334	-4.42912856031267	121	3	0.0652173913043478	46	11674	557176,406311,402815	pik3r1,pik3r3a,nr1d2a
GO:0010562	positive regulation of phosphorus metabolic process	0.0132961277206147	-4.32028243497244	126	3	0.0652173913043478	46	11674	100333821,406304,568412	tnfrsf11a,gadd45ba,si:ch211-45c16.2
GO:0045937	positive regulation of phosphate metabolic process	0.0132961277206147	-4.32028243497244	126	3	0.0652173913043478	46	11674	406304,568412,100333821	gadd45ba,si:ch211-45c16.2,tnfrsf11a
GO:0009725	response to hormone	0.0141604768906878	-4.25730051256279	129	3	0.0652173913043478	46	11674	406311,402815,557176	pik3r3a,nr1d2a,pik3r1
GO:0046486	glycerolipid metabolic process	0.014455563422824	-4.23667592656165	130	3	0.0652173913043478	46	11674	558940,557176,406311	sacm1la,pik3r1,pik3r3a
GO:0045860	positive regulation of protein kinase activity	0.0152719968607941	-4.18173439811174	48	2	0.0434782608695652	46	11674	406304,568412	gadd45ba,si:ch211-45c16.2
GO:0060078	regulation of postsynaptic membrane potential	0.0156706079894593	-4.1559684237843	4	1	0.0217391304347826	46	11674	724016	npas4a
GO:0003085	negative regulation of systemic arterial blood pressure	0.0156706079894593	-4.1559684237843	4	1	0.0217391304347826	46	11674	100037315	adrb2b
GO:0007613	memory	0.0156706079894593	-4.1559684237843	4	1	0.0217391304347826	46	11674	724016	npas4a
GO:0099565	chemical synaptic transmission, postsynaptic	0.0156706079894593	-4.1559684237843	4	1	0.0217391304347826	46	11674	724016	npas4a
GO:0042311	vasodilation	0.0156706079894593	-4.1559684237843	4	1	0.0217391304347826	46	11674	100037315	adrb2b
GO:0090286	cytoskeletal anchoring at nuclear membrane	0.0156706079894593	-4.1559684237843	4	1	0.0217391304347826	46	11674	567576	syne1b
GO:0033674	positive regulation of kinase activity	0.0165030140553359	-4.10421224473738	50	2	0.0434782608695652	46	11674	568412,406304	si:ch211-45c16.2,gadd45ba
GO:0031323	regulation of cellular metabolic process	0.0190972700664038	-3.95820988260533	1804	13	0.282608695652174	46	11674	724016,323656,406304,393541,100333821,767809,402815,436766,557176,492346,568412,405850,406311	npas4a,her8a,gadd45ba,tsc22d3,tnfrsf11a,runx1t1,nr1d2a,jdp2b,pik3r1,fosb,si:ch211-45c16.2,foxg1b,pik3r3a
GO:0031401	positive regulation of protein modification process	0.0196552360090545	-3.92941151259686	146	3	0.0652173913043478	46	11674	568412,406304,100333821	si:ch211-45c16.2,gadd45ba,tnfrsf11a
GO:0080090	regulation of primary metabolic process	0.020186842079058	-3.9027242690414	1817	13	0.282608695652174	46	11674	100333821,393541,767809,402815,724016,323656,406304,406311,557176,492346,436766,568412,405850	tnfrsf11a,tsc22d3,runx1t1,nr1d2a,npas4a,her8a,gadd45ba,pik3r3a,pik3r1,fosb,jdp2b,si:ch211-45c16.2,foxg1b
GO:1901700	response to oxygen-containing compound	0.0218389340665228	-3.8240609357744	152	3	0.0652173913043478	46	11674	406311,100333821,557176	pik3r3a,tnfrsf11a,pik3r1
GO:0006644	phospholipid metabolic process	0.0222153414854279	-3.80697217087231	153	3	0.0652173913043478	46	11674	557176,558940,406311	pik3r1,sacm1la,pik3r3a
GO:0048584	positive regulation of response to stimulus	0.0231953618071796	-3.76380294240129	277	4	0.0869565217391304	46	11674	568412,406304,100333821,393541	si:ch211-45c16.2,gadd45ba,tnfrsf11a,tsc22d3
GO:1901699	cellular response to nitrogen compound	0.023260549998168	-3.76099648650617	60	2	0.0434782608695652	46	11674	406311,557176	pik3r3a,pik3r1
GO:0000185	activation of MAPKKK activity	0.0234155686433212	-3.75435415121247	6	1	0.0217391304347826	46	11674	406304	gadd45ba
GO:0001993	regulation of systemic arterial blood pressure by norepinephrine-epinephrine	0.0234155686433212	-3.75435415121247	6	1	0.0217391304347826	46	11674	100037315	adrb2b
GO:0042312	regulation of vasodilation	0.0234155686433212	-3.75435415121247	6	1	0.0217391304347826	46	11674	100037315	adrb2b
GO:0071900	regulation of protein serine/threonine kinase activity	0.0247278077337195	-3.69982684942845	62	2	0.0434782608695652	46	11674	406304,568412	gadd45ba,si:ch211-45c16.2
GO:0051347	positive regulation of transferase activity	0.0247278077337195	-3.69982684942845	62	2	0.0434782608695652	46	11674	568412,406304	si:ch211-45c16.2,gadd45ba
GO:0045776	negative regulation of blood pressure	0.0272656615335982	-3.60212718779198	7	1	0.0217391304347826	46	11674	100037315	adrb2b
GO:0002027	regulation of heart rate	0.0272656615335982	-3.60212718779198	7	1	0.0217391304347826	46	11674	100037315	adrb2b
GO:0000186	activation of MAPKK activity	0.0272656615335982	-3.60212718779198	7	1	0.0217391304347826	46	11674	568412	si:ch211-45c16.2
GO:0043102	amino acid salvage	0.0311009044896406	-3.47051837695167	8	1	0.0217391304347826	46	11674	324079	adi1
GO:0019509	L-methionine biosynthetic process from methylthioadenosine	0.0311009044896406	-3.47051837695167	8	1	0.0217391304347826	46	11674	324079	adi1
GO:0051597	response to methylmercury	0.0311009044896406	-3.47051837695167	8	1	0.0217391304347826	46	11674	406304	gadd45ba
GO:0006488	dolichol-linked oligosaccharide biosynthetic process	0.0311009044896406	-3.47051837695167	8	1	0.0217391304347826	46	11674	415220	mpdu1b
