TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
GO:0046935	1-phosphatidylinositol-3-kinase regulator activity	0.000171729139938666	-8.66959209019937	6	2	0.0487804878048781	41	11917	406311,557176	pik3r3a,pik3r1
GO:0035014	phosphatidylinositol 3-kinase regulator activity	0.000171729139938666	-8.66959209019937	6	2	0.0487804878048781	41	11917	406311,557176	pik3r3a,pik3r1
GO:0000978	RNA polymerase II core promoter proximal region sequence-specific DNA binding	0.000830075458650937	-7.09399394726879	54	3	0.0731707317073171	41	11917	724016,492346,436766	npas4a,fosb,jdp2b
GO:0001159	core promoter proximal region DNA binding	0.000972221822350233	-6.93592656724582	57	3	0.0731707317073171	41	11917	724016,492346,436766	npas4a,fosb,jdp2b
GO:0000987	core promoter proximal region sequence-specific DNA binding	0.000972221822350233	-6.93592656724582	57	3	0.0731707317073171	41	11917	436766,492346,724016	jdp2b,fosb,npas4a
GO:0000981	RNA polymerase II transcription factor activity, sequence-specific DNA binding	0.00232149083005641	-6.06554570052011	273	5	0.121951219512195	41	11917	436766,405850,492346,724016,402815	jdp2b,foxg1b,fosb,npas4a,nr1d2a
GO:0001071	nucleic acid binding transcription factor activity	0.00300466185865842	-5.80759024356332	570	7	0.170731707317073	41	11917	405850,767809,436766,402815,724016,393541,492346	foxg1b,runx1t1,jdp2b,nr1d2a,npas4a,tsc22d3,fosb
GO:0003700	transcription factor activity, sequence-specific DNA binding	0.00300466185865842	-5.80759024356332	570	7	0.170731707317073	41	11917	767809,436766,405850,393541,492346,724016,402815	runx1t1,jdp2b,foxg1b,tsc22d3,fosb,npas4a,nr1d2a
GO:0008028	monocarboxylic acid transmembrane transporter activity	0.00329532321761612	-5.71525102248005	25	2	0.0487804878048781	41	11917	795588,449947	slc16a9a,slc16a12b
GO:0010309	acireductone dioxygenase [iron(II)-requiring] activity	0.00344046320385894	-5.67214916437706	1	1	0.024390243902439	41	11917	324079	adi1
GO:0043812	phosphatidylinositol-4-phosphate phosphatase activity	0.00686937735347171	-4.9806818095377	2	1	0.024390243902439	41	11917	558940	sacm1la
GO:0004941	beta2-adrenergic receptor activity	0.00686937735347171	-4.9806818095377	2	1	0.024390243902439	41	11917	100037315	adrb2b
GO:0004109	coproporphyrinogen oxidase activity	0.00686937735347171	-4.9806818095377	2	1	0.024390243902439	41	11917	321294	cpox
GO:0001012	RNA polymerase II regulatory region DNA binding	0.00803471904047889	-4.82398324736371	120	3	0.0731707317073171	41	11917	724016,492346,436766	npas4a,fosb,jdp2b
GO:0000977	RNA polymerase II regulatory region sequence-specific DNA binding	0.00803471904047889	-4.82398324736371	120	3	0.0731707317073171	41	11917	492346,724016,436766	fosb,npas4a,jdp2b
GO:0051379	epinephrine binding	0.0102867802516087	-4.57689567881812	3	1	0.024390243902439	41	11917	100037315	adrb2b
GO:0016520	growth hormone-releasing hormone receptor activity	0.0102867802516087	-4.57689567881812	3	1	0.024390243902439	41	11917	100332193	ghsrb
GO:0005308	creatine transmembrane transporter activity	0.0102867802516087	-4.57689567881812	3	1	0.024390243902439	41	11917	449947	slc16a12b
GO:0004939	beta-adrenergic receptor activity	0.0102867802516087	-4.57689567881812	3	1	0.024390243902439	41	11917	100037315	adrb2b
