TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
R-DRE-3700989	Transcriptional Regulation by TP53	0.00540319629609675	-5.22076459383499	255	4	0.222222222222222	18	6205	494031,436817,378866,334202	usp2a,polr2f,ddit4,plk3
R-DRE-1834949	Cytosolic sensors of pathogen-associated DNA	0.00795371189586374	-4.83411655414209	47	2	0.111111111111111	18	6205	436817,323099	polr2f,nfkbiab
R-DRE-5689880	Ub-specific processing proteases	0.011417171599018	-4.47263677626881	166	3	0.166666666666667	18	6205	323099,100037315,494031	nfkbiab,adrb2b,usp2a
R-DRE-5654738	Signaling by FGFR2	0.0115435401190012	-4.46162929553545	57	2	0.111111111111111	18	6205	557176,436817	pik3r1,polr2f
R-DRE-1237112	Methionine salvage pathway	0.0115559340020706	-4.46055620753407	4	1	0.0555555555555556	18	6205	324079	adi1
R-DRE-1483248	Synthesis of PIPs at the ER membrane	0.0144251475465829	-4.23878223810768	5	1	0.0555555555555556	18	6205	558940	sacm1la
R-DRE-8851907	MET activates PI3K/AKT signaling	0.017286493892238	-4.05782978225389	6	1	0.0555555555555556	18	6205	557176	pik3r1
R-DRE-1250342	PI3K events in ERBB4 signaling	0.017286493892238	-4.05782978225389	6	1	0.0555555555555556	18	6205	557176	pik3r1
R-DRE-5666185	RHO GTPases Activate Rhotekin and Rhophilins	0.017286493892238	-4.05782978225389	6	1	0.0555555555555556	18	6205	321330	rhpn2
R-DRE-5676594	TNF receptor superfamily (TNFSF) members mediating non-canonical NF-kB pathway	0.017286493892238	-4.05782978225389	6	1	0.0555555555555556	18	6205	100333821	tnfrsf11a
R-DRE-190236	Signaling by FGFR	0.0180187438633955	-4.01634273714533	72	2	0.111111111111111	18	6205	436817,557176	polr2f,pik3r1
R-DRE-1483255	PI Metabolism	0.0189759674136559	-3.96458197340819	74	2	0.111111111111111	18	6205	558940,557176	sacm1la,pik3r1
R-DRE-212165	Epigenetic regulation of gene expression	0.01995447012929	-3.91430209411436	76	2	0.111111111111111	18	6205	553189,436817	dnmt3ab,polr2f
R-DRE-212436	Generic Transcription Pathway	0.0226749193292541	-3.78649584068279	387	4	0.222222222222222	18	6205	334202,378866,494031,436817	plk3,ddit4,usp2a,polr2f
R-DRE-168256	Immune System	0.0279937444593397	-3.57577420593359	1099	7	0.388888888888889	18	6205	557176,445498,323099,570101,550363,100333821,436817	pik3r1,rab4b,nfkbiab,zgc:173570,ms4a17a.11,tnfrsf11a,polr2f
R-DRE-5688426	Deubiquitination	0.0281040647497952	-3.57184106008605	233	3	0.166666666666667	18	6205	100037315,494031,323099	adrb2b,usp2a,nfkbiab
