ID_REF	VALUE
7892501	2.425
7892502	3.660
7892503	2.441
7892504	8.017
7892505	2.322
7892506	3.060
7892507	2.901
7892508	5.964
7892509	10.468
7892510	3.282
7892511	3.665
7892512	4.450
7892513	2.290
7892514	9.291
7892515	8.433
7892516	2.426
7892517	6.079
7892518	2.732
7892519	3.537
7892520	8.016
7892521	8.031
7892522	5.912
7892524	5.076
7892525	4.897
7892526	4.224
7892527	6.881
7892528	2.260
7892529	4.061
7892530	6.105
7892531	6.611
7892532	3.349
7892533	7.397
7892534	4.217
7892535	5.261
7892536	9.425
7892537	3.638
7892538	5.203
7892539	5.316
7892540	3.962
7892541	9.317
7892542	8.451
7892543	4.619
7892544	3.540
7892545	4.224
7892547	3.520
7892548	7.464
7892549	5.288
7892550	4.665
7892551	9.853
7892552	4.135
7892553	3.921
7892554	2.838
7892555	6.937
7892556	11.975
7892557	2.922
7892558	3.466
7892559	5.313
7892560	3.252
7892561	9.238
7892562	7.007
7892563	5.350
7892564	10.089
7892565	5.348
7892566	2.118
7892567	4.777
7892568	10.359
7892569	8.090
7892570	5.278
7892571	2.476
7892572	6.516
7892573	4.664
7892574	9.773
7892575	5.390
7892576	4.502
7892577	2.417
7892578	4.163
7892579	8.421
7892580	2.769
7892581	2.828
7892582	2.824
7892583	2.983
7892584	4.358
7892585	3.569
7892586	2.093
7892587	3.232
7892588	2.084
7892589	5.502
7892590	2.802
7892591	2.795
7892592	4.805
7892593	2.960
7892594	3.450
7892595	3.615
7892596	3.427
7892597	3.643
7892598	9.687
7892599	8.837
7892600	2.509
7892601	3.796
7892602	3.052
7892603	3.194
7892604	3.812
7892605	8.195
7892606	10.632
7892608	7.287
7892609	2.914
7892610	4.528
7892611	2.227
7892612	2.949
7892613	8.547
7892614	3.681
7892615	3.813
7892616	2.118
7892617	11.870
7892618	5.657
7892619	3.709
7892620	11.573
7892621	11.378
7892622	9.286
7892623	9.782
7892624	3.103
7892625	5.427
7892626	2.368
7892627	6.359
7892628	7.007
7892629	2.919
7892630	8.924
7892631	2.001
7892632	4.242
7892633	6.766
7892634	7.615
7892635	6.293
7892636	7.757
7892637	5.855
7892638	2.045
7892639	8.211
7892640	11.030
7892641	4.599
7892642	7.749
7892643	7.258
7892644	6.527
7892645	2.535
7892646	2.038
7892647	5.863
7892648	8.968
7892649	3.628
7892650	11.157
7892651	2.409
7892652	11.085
7892653	2.448
7892654	8.877
7892655	2.186
7892656	3.612
7892657	2.128
7892658	2.577
7892659	2.802
7892660	1.683
7892661	9.453
7892662	8.074
7892663	10.275
7892664	4.519
7892665	4.972
7892666	2.419
7892667	6.930
7892668	9.869
7892669	5.644
7892670	7.002
7892671	5.176
7892672	4.051
7892673	3.654
7892674	7.085
7892675	5.944
7892676	2.673
7892677	9.376
7892678	6.853
7892679	4.713
7892680	8.109
7892681	6.660
7892682	2.601
7892683	3.835
7892684	8.486
7892685	5.220
7892686	5.965
7892687	3.616
7892688	7.586
7892689	3.613
7892690	2.559
7892691	2.175
7892692	6.946
7892693	6.199
7892694	7.752
7892695	4.751
7892696	4.777
7892697	5.657
7892698	2.101
7892699	4.787
7892700	5.140
7892701	11.386
7892702	3.600
7892703	7.638
7892704	11.576
7892705	6.894
7892706	6.678
7892707	8.127
7892708	4.024
7892709	2.118
7892710	3.062
7892711	4.146
7892712	7.617
7892713	8.995
7892714	3.788
7892715	2.998
7892716	4.719
7892717	4.165
7892718	3.537
7892719	7.822
7892720	5.849
7892721	7.182
7892722	1.876
7892723	2.452
7892724	4.983
7892725	3.763
7892726	3.132
7892727	2.553
7892728	2.949
7892729	3.700
7892730	2.833
7892731	5.619
7892732	4.455
7892733	2.998
7892734	5.377
7892735	3.014
7892736	3.086
7892737	3.554
7892738	6.907
7892739	4.384
7892740	2.560
7892741	6.400
7892742	8.536
7892743	3.043
7892744	6.956
7892745	6.829
7892746	2.306
7892747	6.165
7892748	8.068
7892749	4.364
7892750	3.954
7892751	6.535
7892752	2.628
7892753	12.149
7892754	3.176
7892755	3.239
7892756	2.099
7892757	6.777
7892758	4.076
7892759	5.864
7892760	3.939
7892761	4.685
7892762	11.171
7892763	7.001
7892764	10.473
7892765	7.844
7892766	10.203
7892767	2.928
7892768	2.935
7892769	2.148
7892770	10.384
7892771	8.835
7892772	4.342
7892773	6.486
7892774	5.273
7892775	5.243
7892776	9.563
7892777	3.827
7892778	5.598
7892779	4.244
7892780	5.112
7892781	3.260
7892782	10.479
7892783	7.895
7892784	4.634
7892785	2.550
7892786	8.328
7892787	2.865
7892788	9.880
7892789	4.072
7892790	2.602
7892791	10.504
7892792	4.530
7892793	3.869
7892794	3.822
7892795	4.819
7892796	12.062
7892797	5.867
7892798	2.615
7892799	3.193
7892800	2.457
7892801	3.145
7892802	8.836
7892803	10.782
7892804	3.989
7892805	2.723
7892806	2.443
7892807	5.622
7892808	8.738
7892809	2.936
7892810	3.339
7892811	3.343
7892812	4.604
7892813	2.366
7892814	8.590
7892815	2.494
7892816	8.027
7892817	12.203
7892818	2.147
7892819	2.952
7892820	8.594
7892821	2.234
7892822	2.734
7892823	5.303
7892824	7.536
7892825	3.142
7892826	5.410
7892827	10.873
7892828	2.342
7892829	10.375
7892830	10.610
7892831	8.041
7892832	7.806
7892833	3.163
7892834	3.078
7892835	10.464
7892836	9.321
7892837	10.256
7892838	8.572
7892839	2.199
7892840	5.128
7892841	8.229
7892842	3.360
7892843	4.761
7892844	3.509
7892845	6.519
7892846	11.594
7892847	8.613
7892848	8.085
7892849	2.869
7892850	6.598
7892851	5.692
7892852	4.825
7892853	9.543
7892854	2.453
7892855	3.951
7892856	4.980
7892857	9.800
7892858	2.635
7892859	4.664
7892860	4.061
7892861	9.892
7892862	10.567
7892863	5.672
7892864	3.177
7892865	8.601
7892866	2.577
7892867	2.823
7892868	11.096
7892869	7.627
7892870	7.845
7892871	6.504
7892872	6.160
7892873	3.138
7892874	3.929
7892875	4.636
7892876	3.663
7892877	3.513
7892878	3.594
7892879	2.524
7892880	9.886
7892881	3.186
7892882	8.816
7892883	3.176
7892884	9.802
7892885	3.303
7892886	2.805
7892887	2.463
7892888	6.106
7892889	11.047
7892890	10.879
7892891	11.244
7892892	3.729
7892893	7.841
7892894	10.367
7892895	4.575
7892896	11.436
7892897	5.503
7892898	6.066
7892899	10.008
7892900	10.790
7892901	9.992
7892902	11.962
7892903	6.571
7892904	4.533
7892905	3.795
7892906	10.361
7892907	10.181
7892908	4.311
7892909	5.029
7892910	3.221
7892911	5.022
7892912	3.059
7892913	6.139
7892914	4.888
7892915	6.652
7892916	4.835
7892917	4.187
7892918	5.042
7892919	5.568
7892920	7.967
7892921	2.437
7892922	2.642
7892923	2.375
7892924	10.197
7892925	8.166
7892926	6.970
7892927	4.003
7892928	9.382
7892929	2.909
7892930	10.175
7892931	5.073
7892932	6.890
7892933	5.540
7892934	4.768
7892935	8.846
7892936	3.446
7892937	6.115
7892938	7.160
7892939	9.635
7892940	9.641
7892941	9.702
7892942	4.159
7892943	2.208
7892944	8.673
7892945	3.564
7892946	4.108
7892947	11.218
7892948	9.663
7892949	5.174
7892950	2.567
7892951	6.776
7892952	4.478
7892953	5.455
7892954	9.711
7892955	8.672
7892956	10.075
7892957	3.689
7892958	4.015
7892959	5.979
7892960	8.699
7892961	3.954
7892962	3.769
7892963	4.296
7892964	3.857
7892965	2.630
7892966	9.540
7892967	8.750
7892968	9.044
7892969	10.134
7892970	2.442
7892971	2.211
7892972	9.868
7892973	3.098
7892974	4.140
7892975	2.382
7892976	3.035
7892977	9.131
7892978	7.624
7892979	10.021
7892980	4.628
7892981	9.392
7892982	3.283
7892983	10.630
7892984	5.141
7892985	4.616
7892986	11.278
7892987	11.283
7892988	2.097
7892989	5.308
7892990	5.658
7892991	7.641
7892992	10.522
7892993	9.207
7892994	2.803
7892995	2.754
7892996	6.435
7892997	2.576
7892998	7.507
7892999	2.914
7893000	3.421
7893001	8.321
7893002	9.588
7893003	4.702
7893004	5.042
7893005	2.950
7893006	4.704
7893007	6.672
7893008	4.195
7893009	3.562
7893010	4.688
7893011	4.451
7893012	9.449
7893013	4.061
7893014	5.786
7893015	10.950
7893016	3.493
7893017	5.485
7893018	4.669
7893019	6.832
7893021	2.539
7893022	2.478
7893023	7.496
7893024	2.570
7893025	6.663
7893026	4.499
7893027	4.614
7893028	4.573
7893029	8.476
7893030	4.193
7893031	6.919
7893032	6.204
7893033	5.940
7893034	5.670
7893035	4.091
7893036	7.691
7893037	5.251
7893038	2.469
7893039	9.000
7893040	6.123
7893041	2.669
7893042	7.870
7893043	6.071
7893044	2.906
7893045	2.195
7893046	3.140
7893047	4.056
7893048	6.426
7893049	2.636
7893050	8.150
7893051	3.507
7893052	3.569
7893053	4.120
7893055	5.253
7893056	3.750
7893057	2.354
7893058	9.213
7893059	3.296
7893060	3.709
7893061	9.752
7893062	3.440
7893063	4.235
7893064	7.240
7893065	2.675
7893066	2.774
7893067	7.727
7893068	4.771
7893069	5.725
7893070	10.079
7893071	5.633
7893072	4.721
7893073	9.945
7893074	5.672
7893075	6.261
7893076	2.567
7893077	12.143
7893078	1.876
7893079	9.288
7893080	3.241
7893081	9.948
7893082	4.735
7893083	3.973
7893084	7.261
7893085	9.226
7893086	8.501
7893087	9.200
7893088	4.853
7893089	5.088
7893090	10.151
7893091	7.728
7893092	3.746
7893093	2.606
7893094	9.405
7893095	2.856
7893096	8.476
7893097	8.102
7893098	4.216
7893099	5.024
7893100	3.860
7893101	12.057
7893102	3.925
7893103	11.246
7893104	7.502
7893105	8.549
7893106	5.499
7893107	3.024
7893108	3.265
7893109	3.239
7893110	6.209
7893111	5.969
7893112	4.560
7893113	7.405
7893114	3.216
7893115	4.054
7893116	8.160
7893117	2.195
7893118	6.268
7893119	5.212
7893120	3.312
7893121	8.888
7893122	6.562
7893123	6.926
7893124	2.958
7893125	6.473
7893126	3.256
7893127	3.377
7893128	5.282
7893129	3.765
7893130	10.187
7893131	8.793
7893132	3.490
7893133	11.191
7893134	5.725
7893135	2.014
7893136	2.687
7893137	3.858
7893138	11.897
7893139	11.311
7893140	10.059
7893141	6.294
7893142	5.905
7893143	3.119
7893144	2.594
7893145	4.405
7893146	3.837
7893147	11.843
7893148	7.525
7893149	3.673
7893150	6.663
7893151	5.153
7893152	9.643
7893153	10.621
7893154	5.792
7893155	4.317
7893156	3.352
7893157	2.374
7893158	5.146
7893159	5.291
7893160	8.654
7893161	2.203
7893162	4.649
7893163	2.695
7893164	8.075
7893165	4.675
7893166	6.056
7893167	4.014
7893168	5.778
7893169	5.704
7893170	7.024
7893171	6.573
7893172	5.885
7893173	11.279
7893174	2.192
7893175	4.996
7893176	2.186
7893177	2.994
7893178	2.660
7893179	4.234
7893180	4.929
7893181	7.507
7893182	6.042
7893183	2.759
7893184	5.953
7893185	4.589
7893186	3.177
7893187	9.664
7893188	4.983
7893189	11.908
7893190	5.172
7893191	10.303
7893192	2.915
7893193	2.121
7893194	8.523
7893195	3.121
7893196	9.901
7893197	2.070
