Protein.IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Peptides 1K-1	Peptides 1K-2	Peptides 1NM-1	Peptides 1NM-2	Peptides 2K-1	Peptides 2K-2	Peptides 2NM-1	Peptides 2NM-2	Peptides 3K-1	Peptides 3K-2	Peptides 3NM-1	Peptides 3NM-2	Peptides 4K-1	Peptides 4K-2	Peptides 4NM-1	Peptides 4NM-2	Razor + unique peptides 1K-1	Razor + unique peptides 1K-2	Razor + unique peptides 1NM-1	Razor + unique peptides 1NM-2	Razor + unique peptides 2K-1	Razor + unique peptides 2K-2	Razor + unique peptides 2NM-1	Razor + unique peptides 2NM-2	Razor + unique peptides 3K-1	Razor + unique peptides 3K-2	Razor + unique peptides 3NM-1	Razor + unique peptides 3NM-2	Razor + unique peptides 4K-1	Razor + unique peptides 4K-2	Razor + unique peptides 4NM-1	Razor + unique peptides 4NM-2	Unique peptides 1K-1	Unique peptides 1K-2	Unique peptides 1NM-1	Unique peptides 1NM-2	Unique peptides 2K-1	Unique peptides 2K-2	Unique peptides 2NM-1	Unique peptides 2NM-2	Unique peptides 3K-1	Unique peptides 3K-2	Unique peptides 3NM-1	Unique peptides 3NM-2	Unique peptides 4K-1	Unique peptides 4K-2	Unique peptides 4NM-1	Unique peptides 4NM-2	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Q-value	Score	Identification type 1K-1	Identification type 1K-2	Identification type 1NM-1	Identification type 1NM-2	Identification type 2K-1	Identification type 2K-2	Identification type 2NM-1	Identification type 2NM-2	Identification type 3K-1	Identification type 3K-2	Identification type 3NM-1	Identification type 3NM-2	Identification type 4K-1	Identification type 4K-2	Identification type 4NM-1	Identification type 4NM-2	Sequence coverage 1K-1 [%]	Sequence coverage 1K-2 [%]	Sequence coverage 1NM-1 [%]	Sequence coverage 1NM-2 [%]	Sequence coverage 2K-1 [%]	Sequence coverage 2K-2 [%]	Sequence coverage 2NM-1 [%]	Sequence coverage 2NM-2 [%]	Sequence coverage 3K-1 [%]	Sequence coverage 3K-2 [%]	Sequence coverage 3NM-1 [%]	Sequence coverage 3NM-2 [%]	Sequence coverage 4K-1 [%]	Sequence coverage 4K-2 [%]	Sequence coverage 4NM-1 [%]	Sequence coverage 4NM-2 [%]	Intensity	Intensity 1K-1	Intensity 1K-2	Intensity 1NM-1	Intensity 1NM-2	Intensity 2K-1	Intensity 2K-2	Intensity 2NM-1	Intensity 2NM-2	Intensity 3K-1	Intensity 3K-2	Intensity 3NM-1	Intensity 3NM-2	Intensity 4K-1	Intensity 4K-2	Intensity 4NM-1	Intensity 4NM-2	LFQ intensity 1K-1	LFQ intensity 1K-2	LFQ intensity 1NM-1	LFQ intensity 1NM-2	LFQ intensity 2K-1	LFQ intensity 2K-2	LFQ intensity 2NM-1	LFQ intensity 2NM-2	LFQ intensity 3K-1	LFQ intensity 3K-2	LFQ intensity 3NM-1	LFQ intensity 3NM-2	LFQ intensity 4K-1	LFQ intensity 4K-2	LFQ intensity 4NM-1	LFQ intensity 4NM-2	MS/MS Count 1K-1	MS/MS Count 1K-2	MS/MS Count 1NM-1	MS/MS Count 1NM-2	MS/MS Count 2K-1	MS/MS Count 2K-2	MS/MS Count 2NM-1	MS/MS Count 2NM-2	MS/MS Count 3K-1	MS/MS Count 3K-2	MS/MS Count 3NM-1	MS/MS Count 3NM-2	MS/MS Count 4K-1	MS/MS Count 4K-2	MS/MS Count 4NM-1	MS/MS Count 4NM-2	MS/MS Count	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions
CON__A2A4G1;CON__P19001	CON__A2A4G1	5;2	5;2	2;0		2	5	5	2	4	4	1	0	2	2	2	0	2	1	2	2	2	1	2	0	4	4	1	0	2	2	2	0	2	1	2	2	2	1	2	0	1	1	0	0	1	1	1	0	1	0	1	1	1	0	0	0	19.5	19.5	13.6	49.493	456	456;403	0	323.31	By MS/MS	By MS/MS	By matching	By matching	By matching	By MS/MS	By MS/MS	By matching	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By matching	By matching	By matching	8.6	8.6	3.5	0	6.1	6.1	14.5	0	6.1	3.5	6.1	6.1	6.1	3.5	5.5	0	41087000	10082000	13719000	165990	0	2013000	2785100	68870	0	2577100	397540	2615400	2765400	3296600	128710	471980	0	12807000	9655000	604440	0	818630	2546000	0	0	3551200	0	2875600	4819900	2690000	0	633820	0	10	6	0	0	0	1	0	0	1	0	1	1	1	0	0	0	21			+	0	142;825;1513;2524;2559	True;True;True;True;True	143;840;1536;2560;2597	1874;1875;1876;1877;1878;1879;1880;1881;10957;20570;20571;20572;33341;33342;33343;33344;33345;33346;33347;33348;33349;33350;33351;33352;33353;33354;33355;33356;33357;33358;33359;33360;33361;33362;33363;33903;33904;33905;33906	1415;1416;1417;1418;1419;9067;16244;16245;16246;16247;16248;25615;25616;25617;25618;25619;25620;25621;25622;26001;26002;26003;26004	1415;9067;16247;25618;26003		
CON__A2A5Y0	CON__A2A5Y0	11	2	1		1	11	2	1	2	1	2	1	2	2	1	1	2	3	2	1	11	9	1	1	1	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	26.2	7.2	2.4	47.117	416	416	0	136.41	By matching	By matching	By matching	By matching	By matching	By matching	By matching	By matching	By matching	By matching	By matching	By matching	By MS/MS	By MS/MS	By matching	By matching	6.7	1.9	4.1	1.9	4.1	4.1	1.9	1.9	4.6	6.7	4.1	1.9	26.2	23.8	1.9	1.9	1380800	35857	0	0	0	0	0	0	0	0	0	0	0	998520	346410	0	0	0	0	0	0	0	0	0	0	0	0	0	0	831240	545220	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	4			+	1	201;655;1217;1497;1716;1868;2216;2285;2286;2500;2518	False;False;False;False;False;False;True;False;False;False;True	205;669;1236;1520;1741;1893;2250;2319;2320;2535;2554	2726;2727;2728;2729;2730;8584;8585;16539;16540;20352;20353;23299;23300;23301;23302;25122;25123;25124;25125;25126;25127;25128;29458;29459;29460;29461;29462;30232;30233;30234;30235;30236;33053;33054;33055;33056;33057;33058;33059;33060;33061;33062;33063;33064;33065;33066;33067;33068;33069;33070;33278	2065;2066;2067;6613;6614;6615;13345;13346;13347;16114;16115;18424;18425;18426;18427;18428;18429;18430;18431;18432;19556;19557;19558;19559;19560;19561;22703;22704;22705;23213;23214;23215;23216;23217;23218;23219;23220;23221;25439;25440;25441;25551;25552	2067;6614;13347;16115;18426;19561;22705;23213;23216;25440;25552		
CON__A2AB72	CON__A2AB72	2	1	1		1	2	1	1	1	1	1	0	0	0	1	1	0	0	1	0	1	1	0	0	1	1	1	0	0	0	1	1	0	0	1	0	0	0	0	0	1	1	1	0	0	0	1	1	0	0	1	0	0	0	0	0	6.8	2.9	2.9	51.152	453	453	0.0096774	2.6109	By matching	By MS/MS	By matching	By matching	By matching	By matching	By matching	By matching	By matching	By matching	By matching	By matching	By matching	By matching	By matching	By matching	2.9	2.9	2.9	0	0	0	2.9	2.9	0	0	2.9	0	4	4	0	0	38572000	6337900	5939200	6686400	0	0	0	7707700	7136800	0	0	4764400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5449800	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1			+	2	40;396	False;True	41;405	566;567;5247;5248;5249;5250;5251;5252	369;370;371;4022	369;4022		
CON__A3EZ79;CON__A3EZ82	CON__A3EZ79;CON__A3EZ82	1;1	1;1	1;1	;	2	1	1	1	1	1	1	0	0	0	1	1	0	1	1	1	1	1	0	0	1	1	1	0	0	0	1	1	0	1	1	1	1	1	0	0	1	1	1	0	0	0	1	1	0	1	1	1	1	1	0	0	4	4	4	45.048	449	449;476	0	5.2767	By matching	By MS/MS	By MS/MS	By matching	By matching	By matching	By MS/MS	By MS/MS	By matching	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By matching	By matching	4	4	4	0	0	0	4	4	0	4	4	4	4	4	0	0	150810000	4309200	505890	25425000	0	0	0	27414000	24299000	0	9690700	15817000	10131000	22980000	10237000	0	0	3633200	0	29174000	0	0	0	18853000	29933000	0	0	0	4027300	29974000	0	0	0	0	1	2	0	0	0	4	3	0	1	1	4	6	2	0	0	24			+	3	2843	TRUE	2887	37724;37725;37726;37727;37728;37729;37730;37731;37732;37733;37734;37735;37736;37737;37738;37739;37740;37741;37742	28926;28927;28928;28929;28930;28931;28932;28933;28934;28935;28936;28937;28938;28939;28940;28941;28942;28943;28944;28945;28946;28947;28948;28949	28927		
CON__ENSEMBL:ENSBTAP00000001528	CON__ENSEMBL:ENSBTAP00000001528	1	1	1		1	1	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1	0	0	0	1	0	0	0	1	1	1	1	1	1	1	1	1	0	0	0	1	0	0	0	1	1	1	1	1	1	1	1	1	0	0	0	1.1	1.1	1.1	137.98	1222	1222	0.0096618	2.6109	By matching	By matching	By matching	By matching	By MS/MS	By MS/MS	By matching	By MS/MS	By matching	By matching	By matching	By matching	By matching	By matching	By matching	By matching	1.1	0	0	0	1.1	1.1	1.1	1.1	1.1	1.1	1.1	1.1	1.1	0	0	0	1353400	151710	0	0	0	141520	120380	196810	179370	107700	102490	121750	116480	115140	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	115720	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	2			+	4	2667	TRUE	2708	35330;35331;35332;35333;35334;35335;35336;35337;35338;35339	27217;27218;27219	27218		
CON__ENSEMBL:ENSBTAP00000007350;CON__P01030	CON__ENSEMBL:ENSBTAP00000007350;CON__P01030	3;2	3;2	3;2	;	2	3	3	3	1	1	2	1	1	2	2	2	2	2	3	2	1	1	2	2	1	1	2	1	1	2	2	2	2	2	3	2	1	1	2	2	1	1	2	1	1	2	2	2	2	2	3	2	1	1	2	2	3.6	3.6	3.6	192.99	1742	1742;1741	0	5.6999	By matching	By matching	By matching	By MS/MS	By matching	By matching	By MS/MS	By matching	By matching	By matching	By matching	By MS/MS	By matching	By matching	By matching	By matching	0.7	1.4	2.1	0.7	0.7	2.1	2.1	2.1	2.1	2.1	3.6	2.2	0.7	0.7	2.1	2.1	66129000	2521600	318220	895730	384130	7855600	8976200	991080	1574600	5494800	5147200	5962700	5745200	5602900	4560700	5326200	4772100	0	0	0	0	0	0	0	0	0	0	6820600	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	3			+	5	646;2411;2862	True;True;True	660;2446;2907	8470;8471;8472;8473;8474;8475;8476;8477;8478;8479;8480;8481;8482;8483;8484;31788;31789;31790;31791;31792;31793;31794;31795;31796;31797;37951;37952	6529;24388;29067	6529;24388;29067		
CON__ENSEMBL:ENSBTAP00000025008	CON__ENSEMBL:ENSBTAP00000025008	4	4	4		1	4	4	4	4	4	4	4	3	4	4	4	3	3	4	4	4	4	3	3	4	4	4	4	3	4	4	4	3	3	4	4	4	4	3	3	4	4	4	4	3	4	4	4	3	3	4	4	4	4	3	3	3.9	3.9	3.9	59.299	536	536	0	323.31	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	3.9	3.9	3.9	3.9	3.9	3.9	3.9	3.9	3.9	3.9	3.9	3.9	3.9	3.9	3.9	3.9	429130000	14311000	11171000	11422000	7509200	35244000	32421000	26803000	24666000	5401400	66899000	23285000	67625000	7855900	50576000	28403000	15540000	17757000	9660900	31111000	19387000	27857000	19664000	30316000	12920000	17851000	30707000	16453000	38988000	16548000	38533000	25016000	18296000	5	6	8	5	12	7	9	5	4	4	5	9	8	7	5	2	101			+	6	786;787;1383;1454	True;True;True;True	801;802;1404;1475;1476	10308;10309;10310;10311;10312;10313;10314;10315;10316;10317;10318;10319;10320;10321;10322;10323;10324;10325;10326;10327;10328;10329;10330;10331;10332;10333;10334;10335;10336;10337;10338;10339;10340;10341;10342;10343;10344;10345;10346;10347;10348;10349;10350;10351;10352;10353;10354;10355;10356;10357;10358;10359;10360;10361;10362;10363;10364;10365;10366;10367;10368;10369;10370;10371;10372;10373;10374;10375;10376;10377;10378;10379;10380;10381;10382;10383;10384;10385;10386;10387;18925;18926;18927;18928;18929;18930;18931;18932;18933;18934;18935;18936;18937;18938;18939;18940;18941;18942;19756;19757;19758;19759;19760;19761;19762;19763;19764;19765;19766;19767;19768;19769;19770;19771;19772;19773;19774;19775;19776;19777;19778;19779;19780;19781;19782;19783;19784;19785;19786;19787;19788;19789;19790;19791;19792;19793;19794	7959;7960;7961;7962;7963;7964;7965;7966;7967;7968;7969;7970;7971;7972;7973;7974;7975;7976;7977;7978;7979;7980;7981;7982;7983;7984;7985;7986;7987;7988;7989;7990;7991;7992;7993;7994;7995;7996;7997;7998;7999;8000;8001;8002;8003;8004;8005;8006;8007;8008;8009;8010;8011;8012;8013;8014;8015;8016;8017;8018;15273;15274;15275;15276;15277;15278;15669;15670;15671;15672;15673;15674;15675;15676;15677;15678;15679;15680;15681;15682;15683;15684;15685;15686;15687;15688;15689;15690;15691;15692;15693;15694;15695;15696;15697;15698;15699;15700;15701;15702;15703;15704;15705;15706;15707;15708;15709;15710;15711;15712;15713	7963;7988;15276;15690	0	343
CON__O43790;CON__Q14533	CON__O43790;CON__Q14533	14;13	13;12	1;1	;	2	14	13	1	2	1	1	1	1	1	1	1	1	1	2	0	13	13	1	1	1	0	0	0	0	0	0	0	0	0	1	0	12	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	34.2	32.7	3.9	53.5	486	486;505	0	323.31	By matching	By matching	By matching	By matching	By matching	By matching	By matching	By matching	By matching	By matching	By matching	By matching	By MS/MS	By MS/MS	By matching	By matching	3.7	1.4	1.4	1.4	1.4	1.4	1.4	1.4	1.4	1.4	3.7	0	34	32.1	1.4	1.4	42141000	153190	0	0	0	0	0	0	0	0	0	252780	0	19754000	21981000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21236000	21039000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	15	0	0	33			+	7	213;214;263;422;452;475;767;1449;1450;1459;1554;1801;2303;2515	True;True;True;True;True;True;False;True;True;True;True;True;True;True	217;218;267;432;464;487;782;1470;1471;1481;1577;1826;2338;2551	2838;2839;2840;2841;2842;3518;3519;5580;5581;5904;5905;6155;6156;6157;6158;10056;10057;10058;10059;10060;10061;10062;10063;10064;10065;10066;10067;10068;10069;10070;19711;19712;19713;19714;19852;19853;19854;19855;21104;21105;21106;21107;24317;24318;30384;30385;33253	2127;2128;2129;2726;2727;4274;4522;4523;4745;4746;4747;7786;15640;15641;15769;15770;15771;15772;15773;15774;15775;15776;16747;16748;16749;16750;16751;16752;19054;19055;19056;23316;23317;23318;25536	2127;2129;2727;4274;4522;4746;7786;15640;15641;15775;16751;19055;23318;25536		
CON__O76013	CON__O76013	5	1	1		1	5	1	1	0	0	0	0	0	0	0	0	0	0	0	0	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	8.4	1.9	1.9	52.247	467	467	0	4.4329	By matching	By matching	By matching	By matching	By matching	By matching	By matching	By matching	By matching	By matching	By matching	By matching	By MS/MS	By MS/MS	By matching	By matching	0	0	0	0	0	0	0	0	0	0	0	0	8.4	8.4	0	0	8508700	0	0	0	0	0	0	0	0	0	0	0	0	4386400	4122300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4437200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	3			+	8	655;1217;1849;2160;2161	False;False;True;False;False	669;1236;1874;2194;2195	8584;8585;16539;16540;24879;24880;28878;28879;28880;28881;28882;28883	6613;6614;6615;13345;13346;13347;19370;19371;19372;22235;22236;22237;22238;22239;22240;22241;22242;22243	6614;13347;19372;22236;22242		
CON__O95678;CON__Q5XKE5	CON__O95678;CON__Q5XKE5	6;3	2;0	1;0	;	2	6	2	1	4	4	2	2	2	1	1	2	1	2	3	1	4	2	1	1	1	1	0	0	0	0	0	0	0	1	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	11.3	4.9	2.2	59.504	551	551;535	0	119.26	By MS/MS	By MS/MS	By matching	By matching	By matching	By matching	By matching	By matching	By matching	By matching	By matching	By matching	By MS/MS	By MS/MS	By matching	By matching	7.8	6.9	3.4	3.4	3.4	1.3	1.3	3.4	1.3	4	5.1	2.2	8.3	3.4	1.3	1.3	11259000	397190	550960	0	0	0	0	0	0	0	16214	0	0	5435100	4859900	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5462700	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	3	2	0	0	7			+	9	199;421;705;767;2032;2434	False;True;False;False;False;True	203;431;720;782;2064;2469	2692;2693;2694;5576;5577;5578;5579;9237;10056;10057;10058;10059;10060;10061;10062;10063;10064;10065;10066;10067;10068;10069;10070;27220;27221;27222;27223;27224;27225;27226;27227;32094;32095;32096	2029;4272;4273;7107;7108;7109;7786;20987;20988;24642;24643;24644;24645;24646	2029;4273;7108;7786;20987;24644		
