ensembl_gene_id,external_gene_name,chromosome_name,strand,start_position,end_position,gene_biotype,human_module,zebrafish_module,description
ENSDARG00000035630,ypel1,5,-1,12536889,12586399,protein_coding,turquoise,greenyellow,yippee-like 1 [Source:ZFIN;Acc:ZDB-GENE-040808-41]
ENSDARG00000045155,phf5a,12,1,19016578,19021818,protein_coding,brown,purple,PHD finger protein 5A [Source:ZFIN;Acc:ZDB-GENE-021219-3]
ENSDARG00000018637,sec61g,24,-1,18299770,18302185,protein_coding,turquoise,turquoise,NA
ENSDARG00000094003,serp2,9,1,18708773,18713704,protein_coding,turquoise,darkred,stress-associated endoplasmic reticulum protein family member 2 [Source:ZFIN;Acc:ZDB-GENE-081104-143]
ENSDARG00000033009,h3f3b.1,5,-1,36345114,36349323,protein_coding,blue,green,"H3 histone, family 3B.1 [Source:ZFIN;Acc:ZDB-GENE-050417-65]"
ENSDARG00000006413,rpl38,12,1,38382041,38387421,protein_coding,grey,orange,ribosomal protein L38 [Source:ZFIN;Acc:ZDB-GENE-030131-8752]
ENSDARG00000092807,RPL41,23,1,25378890,25380062,protein_coding,turquoise,orange,si:dkey-151g10.6 [Source:ZFIN;Acc:ZDB-GENE-030131-7528]
ENSDARG00000089044,hist1h4l,25,1,35783063,35783374,protein_coding,turquoise,blue,"histone 1, H4, like [Source:ZFIN;Acc:ZDB-GENE-070927-10]"
ENSDARG00000089737,hist1h4l,25,-1,34602522,34602833,protein_coding,turquoise,cyan,"histone 1, H4, like [Source:ZFIN;Acc:ZDB-GENE-070927-10]"
ENSDARG00000091011,hist1h4l,25,1,35765408,35765719,protein_coding,grey,brown,"histone 1, H4, like [Source:ZFIN;Acc:ZDB-GENE-070927-10]"
ENSDARG00000020504,h3f3a,3,-1,47824036,47825789,protein_coding,magenta,pink,"H3 histone, family 3A [Source:ZFIN;Acc:ZDB-GENE-040426-1928]"
ENSDARG00000087670,hist1h4l,25,-1,34608622,34608933,protein_coding,turquoise,blue,"histone 1, H4, like [Source:ZFIN;Acc:ZDB-GENE-070927-10]"
ENSDARG00000099920,hist1h4l,7,1,5846578,5847344,protein_coding,turquoise,grey,"histone 1, H4, like [Source:ZFIN;Acc:ZDB-GENE-070927-10]"
ENSDARG00000097103,HIST4H4,25,1,34560844,34561155,protein_coding,turquoise,grey,zgc:165555 [Source:ZFIN;Acc:ZDB-GENE-070620-17]
ENSDARG00000101114,hist1h4l,7,-1,73591787,73592098,protein_coding,black,cyan,NA
ENSDARG00000105353,hist1h4l,7,-1,6204800,6205181,protein_coding,turquoise,orange,NA
ENSDARG00000092659,ppp3r1a,13,1,969906,1300200,protein_coding,turquoise,lightgreen,"protein phosphatase 3, regulatory subunit B, alpha a [Source:ZFIN;Acc:ZDB-GENE-081113-3]"
ENSDARG00000036629,rps14,21,1,33418568,33422984,protein_coding,grey,orange,NA
ENSDARG00000015057,ube2d4,8,1,52297546,52311270,protein_coding,turquoise,grey60,ubiquitin-conjugating enzyme E2D 4 (putative) [Source:ZFIN;Acc:ZDB-GENE-070424-86]
ENSDARG00000057912,eif1axb,24,-1,24019053,24023359,protein_coding,yellow,grey,NA
ENSDARG00000053457,rpl23,3,-1,33292272,33296089,protein_coding,grey,orange,NA
ENSDARG00000010160,rps15a,3,1,26214861,26220785,protein_coding,green,orange,ribosomal protein S15a [Source:ZFIN;Acc:ZDB-GENE-030131-8708]
ENSDARG00000045180,acta2,12,1,16966955,16994605,protein_coding,red,tan,"actin, alpha 2, smooth muscle, aorta [Source:ZFIN;Acc:ZDB-GENE-030131-1229]"
ENSDARG00000037870,actb2,3,-1,40384249,40387946,protein_coding,yellow,brown,NA
ENSDARG00000040440,snrpd2,18,-1,40885681,40893895,protein_coding,turquoise,pink,NA
ENSDARG00000070867,smx5,6,1,28214723,28217816,protein_coding,blue,grey,smx5 [Source:ZFIN;Acc:ZDB-GENE-000616-10]
ENSDARG00000005172,dynll2b,21,-1,39512375,39521796,protein_coding,turquoise,black,"dynein, light chain, LC8-type 2b [Source:ZFIN;Acc:ZDB-GENE-050320-132]"
ENSDARG00000101626,arf6a,20,1,54525232,54527311,protein_coding,grey,lightyellow,NA
ENSDARG00000056127,polr2gl,14,1,26417521,26420948,protein_coding,tan,grey,polymerase (RNA) II (DNA directed) polypeptide G-like [Source:ZFIN;Acc:ZDB-GENE-030131-2808]
ENSDARG00000090454,gnb1a,8,1,53391371,53453660,protein_coding,turquoise,turquoise,"guanine nucleotide binding protein (G protein), beta polypeptide 1a [Source:ZFIN;Acc:ZDB-GENE-030131-823]"
ENSDARG00000037997,tubb5,16,1,10427991,10436718,protein_coding,turquoise,blue,"tubulin, beta 5 [Source:ZFIN;Acc:ZDB-GENE-031110-4]"
ENSDARG00000021838,rps23,11,1,42265833,42270653,protein_coding,grey,orange,NA
ENSDARG00000070688,ncalda,16,-1,9942354,10006711,protein_coding,turquoise,pink,neurocalcin delta a [Source:ZFIN;Acc:ZDB-GENE-080220-28]
ENSDARG00000038030,rbx1,3,-1,24971412,24977254,protein_coding,yellow,darkorange,NA
